Year,Area Name,Species Name Common,Average Exvessel Price per Pound
1984,Alaska Peninsula,                             Pink,0.248705829
1984,Alaska Peninsula,        Chum,0.29694834
1984,Alaska Peninsula,        Coho,0.65266795
1984,Alaska Peninsula,Chinook,1.067663758
1984,Alaska Peninsula,Sockeye,0.852484713
1984,Bristol Bay,                             Pink,0.227246234
1984,Bristol Bay,        Chum,0.302707894
1984,Bristol Bay,        Coho,0.765659133
1984,Bristol Bay,Chinook,1.032070541
1984,Bristol Bay,Sockeye,0.658402587
1984,Chignik,                             Pink,0.214783721
1984,Chignik,        Chum,0.333031506
1984,Chignik,        Coho,0.748151797
1984,Chignik,Chinook,1.110180105
1984,Chignik,Sockeye,0.976548561
1984,Cook Inlet,                             Pink,0.247967635
1984,Cook Inlet,        Chum,0.382557857
1984,Cook Inlet,        Coho,0.663095209
1984,Cook Inlet,Chinook,1.077792673
1984,Cook Inlet,Sockeye,0.967045495
1984,Kodiak,                             Pink,0.257747649
1984,Kodiak,        Chum,0.340310213
1984,Kodiak,        Coho,0.843066244
1984,Kodiak,Chinook,0.946054888
1984,Kodiak,Sockeye,1.005220589
1984,Kotzebue,        Chum,0.425768379
1984,Kuskokwim,                             Pink,0.075429676
1984,Kuskokwim,        Chum,0.29375786
1984,Kuskokwim,        Coho,0.639371854
1984,Kuskokwim,Chinook,0.896175109
1984,Kuskokwim,Sockeye,0.581368474
1984,Norton Sound,        Chum,0.241769234
1984,Norton Sound,        Coho,0.47944269
1984,Norton Sound,Chinook,1.200108914
1984,Prince William Sound,                             Pink,0.263808408
1984,Prince William Sound,        Chum,0.312099479
1984,Prince William Sound,        Coho,1.037739812
1984,Prince William Sound,Chinook,1.419266044
1984,Prince William Sound,Sockeye,1.032062183
1984,Southeast,                             Pink,0.254379484
1984,Southeast,        Chum,0.451795562
1984,Southeast,        Coho,1.317515119
1984,Southeast,Chinook,2.708720889
1984,Southeast,Sockeye,1.10695653
1984,Yukon,        Chum,0.281997493
1984,Yukon,        Coho,0.51191513
1984,Yukon,Chinook,1.503901184
1985,Alaska Peninsula,                             Pink,0.220513811
1985,Alaska Peninsula,        Chum,0.305150834
1985,Alaska Peninsula,        Coho,0.765556019
1985,Alaska Peninsula,Chinook,0.982205716
1985,Alaska Peninsula,Sockeye,1.096858317
1985,Bristol Bay,                             Pink,0.118012422
1985,Bristol Bay,        Chum,0.313748674
1985,Bristol Bay,        Coho,0.698271937
1985,Bristol Bay,Chinook,0.961481945
1985,Bristol Bay,Sockeye,0.83508341
1985,Chignik,                             Pink,0.218690905
1985,Chignik,        Chum,0.381458975
1985,Chignik,        Coho,0.794045309
1985,Chignik,Chinook,1.383261942
1985,Chignik,Sockeye,1.355113366
1985,Cook Inlet,                             Pink,0.218360437
1985,Cook Inlet,        Chum,0.439393595
1985,Cook Inlet,        Coho,0.694216636
1985,Cook Inlet,Chinook,1.227348015
1985,Cook Inlet,Sockeye,1.220392285
1985,Kodiak,                             Pink,0.235127273
1985,Kodiak,        Chum,0.397992308
1985,Kodiak,        Coho,0.776204699
1985,Kodiak,Chinook,1.379192472
1985,Kodiak,Sockeye,1.228838381
1985,Kotzebue,        Chum,0.607453806
1985,Kuskokwim,        Chum,0.249334255
1985,Kuskokwim,        Coho,0.513642532
1985,Kuskokwim,Chinook,0.797349741
1985,Kuskokwim,Sockeye,0.599769183
1985,Norton Sound,        Chum,0.302787851
1985,Norton Sound,        Coho,0.501396453
1985,Norton Sound,Chinook,1.064179707
1985,Prince William Sound,                             Pink,0.231740448
1985,Prince William Sound,        Chum,0.389688497
1985,Prince William Sound,        Coho,0.890471966
1985,Prince William Sound,Chinook,1.64171311
1985,Prince William Sound,Sockeye,1.403679558
1985,Southeast,                             Pink,0.236761361
1985,Southeast,        Chum,0.422731872
1985,Southeast,        Coho,1.05923658
1985,Southeast,Chinook,2.19050766
1985,Southeast,Sockeye,1.337152799
1985,Yukon,        Chum,0.406154929
1985,Yukon,        Coho,0.534934113
1985,Yukon,Chinook,1.517221783
1986,Alaska Peninsula,                             Pink,0.209389314
1986,Alaska Peninsula,        Chum,0.347688522
1986,Alaska Peninsula,        Coho,0.704926434
1986,Alaska Peninsula,Chinook,0.773210787
1986,Alaska Peninsula,Sockeye,1.411340768
1986,Bristol Bay,                             Pink,0.146357694
1986,Bristol Bay,        Chum,0.315457575
1986,Bristol Bay,        Coho,0.672624115
1986,Bristol Bay,Chinook,1.006286407
1986,Bristol Bay,Sockeye,1.422478127
1986,Chignik,                             Pink,0.187430416
1986,Chignik,        Chum,0.387366821
1986,Chignik,        Coho,0.768835293
1986,Chignik,Chinook,1.164314411
1986,Chignik,Sockeye,1.467530759
1986,Cook Inlet,                             Pink,0.151929797
1986,Cook Inlet,        Chum,0.378540633
1986,Cook Inlet,        Coho,0.632234934
1986,Cook Inlet,Chinook,1.098611089
1986,Cook Inlet,Sockeye,1.436103924
1986,Kodiak,                             Pink,0.199897803
1986,Kodiak,        Chum,0.324254489
1986,Kodiak,        Coho,0.646829612
1986,Kodiak,Chinook,1.102754142
1986,Kodiak,Sockeye,1.421262499
1986,Kuskokwim,        Chum,0.249991059
1986,Kuskokwim,        Coho,0.600262432
1986,Kuskokwim,Chinook,0.799316441
1986,Kuskokwim,Sockeye,0.699033988
1986,Prince William Sound,                             Pink,0.220323217
1986,Prince William Sound,        Chum,0.341922022
1986,Prince William Sound,        Coho,0.900111711
1986,Prince William Sound,Chinook,1.457508549
1986,Prince William Sound,Sockeye,1.496326757
1986,Southeast,                             Pink,0.263261402
1986,Southeast,        Chum,0.376118125
1986,Southeast,        Coho,1.072336798
1986,Southeast,Chinook,1.979666016
1986,Southeast,Sockeye,1.510894317
1986,Yukon,        Chum,0.398677035
1986,Yukon,        Coho,0.701570323
1986,Yukon,Chinook,1.606112771
1987,Alaska Peninsula,                             Pink,0.406099869
1987,Alaska Peninsula,        Chum,0.383384193
1987,Alaska Peninsula,        Coho,0.906709919
1987,Alaska Peninsula,Chinook,1.213023008
1987,Alaska Peninsula,Sockeye,1.643019053
1987,Bristol Bay,                             Pink,0.181146026
1987,Bristol Bay,        Chum,0.302221832
1987,Bristol Bay,        Coho,0.715615821
1987,Bristol Bay,Chinook,1.171307269
1987,Bristol Bay,Sockeye,1.40092202
1987,Chignik,                             Pink,0.294231441
1987,Chignik,        Chum,0.373956394
1987,Chignik,        Coho,0.895314183
1987,Chignik,Chinook,1.500023218
1987,Chignik,Sockeye,1.831550001
1987,Cook Inlet,                             Pink,0.412595755
1987,Cook Inlet,        Chum,0.399469363
1987,Cook Inlet,        Coho,0.777741144
1987,Cook Inlet,Chinook,1.356174248
1987,Cook Inlet,Sockeye,1.554866346
1987,Kodiak,                             Pink,0.432577698
1987,Kodiak,        Chum,0.43131973
1987,Kodiak,        Coho,0.821930593
1987,Kodiak,Chinook,1.117372812
1987,Kodiak,Sockeye,1.74130137
1987,Kotzebue,        Chum,0.61928034
1987,Kuskokwim,        Chum,0.311217173
1987,Kuskokwim,        Coho,0.78527639
1987,Kuskokwim,Chinook,1.16089798
1987,Kuskokwim,Sockeye,1.335188047
1987,Norton Sound,        Chum,0.34168693
1987,Norton Sound,        Coho,0.593586871
1987,Norton Sound,Chinook,1.124862942
1987,Prince William Sound,                             Pink,0.420042334
1987,Prince William Sound,        Chum,0.468421304
1987,Prince William Sound,        Coho,0.97276745
1987,Prince William Sound,Chinook,2.154277253
1987,Prince William Sound,Sockeye,1.933118002
1987,Southeast,                             Pink,0.443002086
1987,Southeast,        Chum,0.629255149
1987,Southeast,        Coho,1.758404578
1987,Southeast,Chinook,2.941949239
1987,Southeast,Sockeye,1.766646791
1987,Yukon,        Chum,0.453718672
1987,Yukon,Chinook,1.992030995
1988,Alaska Peninsula,                             Pink,0.778699728
1988,Alaska Peninsula,        Chum,0.786240997
1988,Alaska Peninsula,        Coho,1.215524508
1988,Alaska Peninsula,Chinook,1.350440026
1988,Alaska Peninsula,Sockeye,2.253104903
1988,Bristol Bay,                             Pink,0.352722872
1988,Bristol Bay,        Chum,0.472082134
1988,Bristol Bay,        Coho,1.395285374
1988,Bristol Bay,Chinook,1.077118973
1988,Bristol Bay,Sockeye,2.11094502
1988,Chignik,                             Pink,0.630715604
1988,Chignik,        Chum,0.963538972
1988,Chignik,        Coho,1.451655768
1988,Chignik,Chinook,1.990066275
1988,Chignik,Sockeye,2.487834991
1988,Cook Inlet,                             Pink,0.65608748
1988,Cook Inlet,        Chum,0.870393456
1988,Cook Inlet,        Coho,1.375992039
1988,Cook Inlet,Chinook,1.579423569
1988,Cook Inlet,Sockeye,2.543069201
1988,Kodiak,                             Pink,0.811108566
1988,Kodiak,        Chum,1.132448589
1988,Kodiak,        Coho,1.283433729
1988,Kodiak,Chinook,1.446221855
1988,Kodiak,Sockeye,2.706871659
1988,Kotzebue,        Chum,0.880170401
1988,Kuskokwim,                             Pink,0.183566555
1988,Kuskokwim,        Chum,0.434413224
1988,Kuskokwim,        Coho,1.34649524
1988,Kuskokwim,Chinook,1.332700018
1988,Kuskokwim,Sockeye,1.919746944
1988,Norton Sound,                             Pink,0.192949621
1988,Norton Sound,        Chum,0.401523999
1988,Norton Sound,        Coho,1.136154372
1988,Norton Sound,Chinook,1.275922541
1988,Prince William Sound,                             Pink,0.816985589
1988,Prince William Sound,        Chum,1.056121911
1988,Prince William Sound,        Coho,1.994996725
1988,Prince William Sound,Chinook,3.277257644
1988,Prince William Sound,Sockeye,3.047611197
1988,Southeast,                             Pink,0.841702138
1988,Southeast,        Chum,1.034943934
1988,Southeast,        Coho,2.680445616
1988,Southeast,Chinook,3.6339978
1988,Southeast,Sockeye,3.080694294
1988,Yukon,        Chum,0.681176549
1988,Yukon,        Coho,1.207859849
1988,Yukon,Chinook,2.885505085
1989,Alaska Peninsula,                             Pink,0.338390639
1989,Alaska Peninsula,        Chum,0.390367592
1989,Alaska Peninsula,        Coho,0.766967374
1989,Alaska Peninsula,Chinook,1.124818761
1989,Alaska Peninsula,Sockeye,1.500541791
1989,Bristol Bay,                             Pink,0.317428614
1989,Bristol Bay,        Chum,0.257677106
1989,Bristol Bay,        Coho,0.708666006
1989,Bristol Bay,Chinook,0.821227355
1989,Bristol Bay,Sockeye,1.254814337
1989,Chignik,                             Pink,0.330443283
1989,Chignik,        Chum,0.402142977
1989,Chignik,        Coho,0.77626633
1989,Chignik,Chinook,1.051420305
1989,Chignik,Sockeye,1.652513266
1989,Cook Inlet,                             Pink,0.394670902
1989,Cook Inlet,        Chum,0.392830136
1989,Cook Inlet,        Coho,0.683978726
1989,Cook Inlet,Chinook,1.307502974
1989,Cook Inlet,Sockeye,1.720631993
1989,Kodiak,                             Pink,0.548371898
1989,Kodiak,        Chum,0.385024894
1989,Kodiak,        Coho,0.649584807
1989,Kodiak,Chinook,1.166982922
1989,Kodiak,Sockeye,1.793432939
1989,Kotzebue,        Chum,0.32570354
1989,Kotzebue,Chinook,1.60916442
1989,Kuskokwim,                             Pink,0.168901569
1989,Kuskokwim,        Chum,0.313405711
1989,Kuskokwim,        Coho,0.646083032
1989,Kuskokwim,Chinook,0.817849925
1989,Kuskokwim,Sockeye,1.281553382
1989,Prince William Sound,                             Pink,0.476799315
1989,Prince William Sound,        Chum,0.429740011
1989,Prince William Sound,        Coho,0.632737523
1989,Prince William Sound,Chinook,2.258281735
1989,Prince William Sound,Sockeye,2.288521552
1989,Southeast,                             Pink,0.418521362
1989,Southeast,        Chum,0.490146902
1989,Southeast,        Coho,0.962241795
1989,Southeast,Chinook,1.950766579
1989,Southeast,Sockeye,1.627168271
1989,Yukon,        Chum,0.371264966
1989,Yukon,        Coho,0.637661989
1989,Yukon,Chinook,2.77224915
1990,Alaska Peninsula,                             Pink,0.301553481
1990,Alaska Peninsula,        Chum,0.355826141
1990,Alaska Peninsula,        Coho,0.780048256
1990,Alaska Peninsula,Chinook,1.156743836
1990,Alaska Peninsula,Sockeye,1.518328822
1990,Bristol Bay,                             Pink,0.289107089
1990,Bristol Bay,        Chum,0.266197223
1990,Bristol Bay,        Coho,0.729592778
1990,Bristol Bay,Chinook,0.906926383
1990,Bristol Bay,Sockeye,1.092336119
1990,Chignik,                             Pink,0.267334797
1990,Chignik,        Chum,0.392381275
1990,Chignik,        Coho,0.745217867
1990,Chignik,Chinook,1.075527417
1990,Chignik,Sockeye,1.603343677
1990,Cook Inlet,                             Pink,0.294941464
1990,Cook Inlet,        Chum,0.518570367
1990,Cook Inlet,        Coho,0.760701728
1990,Cook Inlet,Chinook,1.501605757
1990,Cook Inlet,Sockeye,1.699626545
1990,Kodiak,                             Pink,0.337158062
1990,Kodiak,        Chum,0.502625852
1990,Kodiak,        Coho,0.748556379
1990,Kodiak,Chinook,1.060587295
1990,Kodiak,Sockeye,1.535252901
1990,Kotzebue,        Chum,0.371897978
1990,Kotzebue,Chinook,1.932762836
1990,Kuskokwim,                             Pink,0.1203636
1990,Kuskokwim,        Chum,0.27967835
1990,Kuskokwim,        Coho,0.693471244
1990,Kuskokwim,Chinook,0.583825365
1990,Kuskokwim,Sockeye,1.108007269
1990,Norton Sound,        Chum,0.215870343
1990,Norton Sound,Chinook,0.918478993
1990,Prince William Sound,                             Pink,0.34216001
1990,Prince William Sound,        Chum,0.726233535
1990,Prince William Sound,        Coho,0.950633233
1990,Prince William Sound,Chinook,2.328181088
1990,Prince William Sound,Sockeye,2.225029884
1990,Southeast,                             Pink,0.329888614
1990,Southeast,        Chum,0.503001161
1990,Southeast,        Coho,1.225264584
1990,Southeast,Chinook,2.107132281
1990,Southeast,Sockeye,1.587101298
1990,Yukon,        Chum,0.274519723
1990,Yukon,        Coho,0.571470385
1990,Yukon,Chinook,2.833945787
1991,Alaska Peninsula,                             Pink,0.123792298
1991,Alaska Peninsula,        Chum,0.243766017
1991,Alaska Peninsula,        Coho,0.482433978
1991,Alaska Peninsula,Chinook,0.775611322
1991,Alaska Peninsula,Sockeye,0.885297299
1991,Bristol Bay,                             Pink,0.151260504
1991,Bristol Bay,        Chum,0.221612283
1991,Bristol Bay,        Coho,0.602774474
1991,Bristol Bay,Chinook,0.670171643
1991,Bristol Bay,Sockeye,0.749691121
1991,Chignik,                             Pink,0.119536098
1991,Chignik,        Chum,0.22325723
1991,Chignik,        Coho,0.552287759
1991,Chignik,Chinook,0.765751582
1991,Chignik,Sockeye,0.837576119
1991,Cook Inlet,                             Pink,0.121051839
1991,Cook Inlet,        Chum,0.289236101
1991,Cook Inlet,        Coho,0.532211091
1991,Cook Inlet,Chinook,1.196730433
1991,Cook Inlet,Sockeye,1.03665227
1991,Kodiak,                             Pink,0.143883511
1991,Kodiak,        Chum,0.346525072
1991,Kodiak,        Coho,0.573974101
1991,Kodiak,Chinook,0.718225425
1991,Kodiak,Sockeye,0.921932152
1991,Kuskokwim,        Chum,0.321169204
1991,Kuskokwim,        Coho,0.456790254
1991,Kuskokwim,Chinook,0.57794479
1991,Kuskokwim,Sockeye,0.675297581
1991,Prince William Sound,                             Pink,0.14463061
1991,Prince William Sound,        Chum,0.624965292
1991,Prince William Sound,        Coho,0.740976794
1991,Prince William Sound,Chinook,1.721298035
1991,Prince William Sound,Sockeye,1.335991123
1991,Southeast,                             Pink,0.151541114
1991,Southeast,        Chum,0.340679394
1991,Southeast,        Coho,0.98788454
1991,Southeast,Chinook,2.099665347
1991,Southeast,Sockeye,0.945706823
1991,Yukon,        Chum,0.343246531
1991,Yukon,        Coho,0.401528386
1991,Yukon,Chinook,3.671316474
1992,Alaska Peninsula,                             Pink,0.15901456
1992,Alaska Peninsula,        Chum,0.297521143
1992,Alaska Peninsula,        Coho,0.63890482
1992,Alaska Peninsula,Chinook,1.009424572
1992,Alaska Peninsula,Sockeye,1.459179697
1992,Bristol Bay,                             Pink,0.138928594
1992,Bristol Bay,        Chum,0.261422813
1992,Bristol Bay,        Coho,0.589587586
1992,Bristol Bay,Chinook,0.933650661
1992,Bristol Bay,Sockeye,1.120882137
1992,Chignik,                             Pink,0.148186483
1992,Chignik,        Chum,0.290483727
1992,Chignik,        Coho,0.56020136
1992,Chignik,Chinook,1.091340058
1992,Chignik,Sockeye,1.468314534
1992,Cook Inlet,                             Pink,0.151557186
1992,Cook Inlet,        Chum,0.363411615
1992,Cook Inlet,        Coho,0.648164056
1992,Cook Inlet,Chinook,1.283742365
1992,Cook Inlet,Sockeye,1.588824474
1992,Kodiak,                             Pink,0.177567366
1992,Kodiak,        Chum,0.383524214
1992,Kodiak,        Coho,0.568434155
1992,Kodiak,Chinook,1.021441614
1992,Kodiak,Sockeye,1.469652176
1992,Kotzebue,        Chum,0.250292139
1992,Kuskokwim,                             Pink,0.060210783
1992,Kuskokwim,        Chum,0.336723223
1992,Kuskokwim,        Coho,0.448804435
1992,Kuskokwim,Chinook,0.677371194
1992,Kuskokwim,Sockeye,0.922889269
1992,Prince William Sound,                             Pink,0.211256943
1992,Prince William Sound,        Chum,0.614055688
1992,Prince William Sound,        Coho,0.973994281
1992,Prince William Sound,Chinook,2.749276437
1992,Prince William Sound,Sockeye,2.129832027
1992,Southeast,                             Pink,0.222788823
1992,Southeast,        Chum,0.477806694
1992,Southeast,        Coho,1.167675169
1992,Southeast,Chinook,1.972782028
1992,Southeast,Sockeye,1.69093125
1992,Yukon,        Chum,0.275186686
1992,Yukon,        Coho,0.699478261
1992,Yukon,Chinook,4.064961277
1993,Alaska Peninsula,                             Pink,0.128768841
1993,Alaska Peninsula,        Chum,0.262446487
1993,Alaska Peninsula,        Coho,0.44509967
1993,Alaska Peninsula,Chinook,0.775110554
1993,Alaska Peninsula,Sockeye,0.80489622
1993,Bristol Bay,                             Pink,0.249386059
1993,Bristol Bay,        Chum,0.221321446
1993,Bristol Bay,        Coho,0.523126782
